Driver,session_id,season,Avg_Lap_Time,Avg_Sector_1_Time,Avg_Sector_2_Time,Avg_Sector_3_Time,Avg_Speed,Max_Speed,Avg_Throttle,Max_Throttle,Avg_RPM,DRS_Activations,GearChanges,Quali_Position,Avg_AirTemp,Avg_Humidity,Avg_Pressure,Rainfall,Avg_TrackTemp,Avg_WindSpeed,Final_Race_Position,Team_Ferrari,Team_Haas F1 Team,Team_McLaren,Team_Mercedes,Team_Red Bull Racing,Team_Williams,Team_Racing Bulls,Team_Kick Sauber,Team_Alpine,Team_Aston Martin
44,2019_1,2019,99.887,34.987722,26.688277,38.263285,72.36291438233334,321.0,77.33242813957062,104.0,4011.6745401444896,159768,9,1.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,2.0,False,False,False,True,False,False,False,False,False,False
77,2019_1,2019,102.112642,34.605052,26.578421,41.077666,77.22416354972589,322.0,63.53373981657017,104.0,4572.853614797356,151482,9,2.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,1.0,False,False,False,True,False,False,False,False,False,False
5,2019_1,2019,102.006363,35.413562,26.63025,39.076916,64.46810472921044,318.0,65.3279704872675,104.0,3734.268022749398,142262,9,3.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,4.0,True,False,False,False,False,False,False,False,False,False
33,2019_1,2019,99.37825,35.317647,27.301647,36.97225,68.29492237536506,320.0,45.24747655889737,104.0,3842.628272787826,136242,9,4.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,3.0,False,False,False,False,True,False,False,False,False,False
16,2019_1,2019,98.392416,34.423823,26.681176,38.623153,68.32494748168264,321.0,72.72254957216785,104.0,3959.783060921248,158382,9,5.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,5.0,True,False,False,False,False,False,False,False,False,False
8,2019_1,2019,99.417818,35.334,26.329294,38.308916,68.40539017266998,320.0,63.04052876979044,104.0,4406.576010657375,150630,9,6.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,18.0,False,True,False,False,False,False,False,False,False,False
20,2019_1,2019,99.417583,35.048611,26.330722,39.184833,72.38791822513706,319.0,70.5846697750679,104.0,4572.953527693805,158664,9,7.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,6.0,False,True,False,False,False,False,False,False,False,False
4,2019_1,2019,101.005571,35.275571,26.733238,38.995,84.27473484654404,322.0,51.76876569144848,104.0,4784.611979300097,131390,9,8.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,12.0,False,False,True,False,False,False,False,False,False,False
7,2019_1,2019,98.836,34.564117,26.601352,38.496846,68.37469898037608,323.0,50.67228569964646,104.0,4026.653122918481,128344,9,9.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,8.0,False,False,False,False,False,False,False,True,False,False
11,2019_1,2019,96.3608,34.164933,26.0284,37.8289,60.68637597991495,324.0,55.122406107496026,104.0,3398.9836040375058,118016,9,10.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,13.0,False,False,False,False,False,False,False,False,False,True
27,2019_1,2019,101.53,36.8127,28.3845,39.9195,40.26561459240662,322.0,37.1198954757391,104.0,2293.8632474253213,123034,9,11.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,7.0,False,False,False,False,False,False,False,False,True,False
3,2019_1,2019,101.87375,35.870666,26.7115,40.785625,48.28969616232003,319.0,55.89260644566276,104.0,2759.823948352718,153898,9,12.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,19.0,False,False,False,False,False,False,False,False,True,False
23,2019_1,2019,101.5546,35.972214,26.429428,39.8614,56.25357380744992,325.0,58.72234462263667,104.0,3176.366449761746,122584,9,13.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,14.0,False,False,False,False,False,False,True,False,False,False
99,2019_1,2019,97.4908,34.257,25.489714,39.1294,56.37956653174156,325.0,58.231541732848285,104.0,3266.166828918379,127614,9,14.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,15.0,False,False,False,False,False,False,False,True,False,False
26,2019_1,2019,104.576,36.177538,28.433384,40.394444,52.235333299175075,324.0,57.76092637188093,104.0,3026.936363170569,122122,9,15.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,10.0,False,False,False,False,False,False,True,False,False,False
18,2019_1,2019,97.77925,34.3715,25.488666,38.7165,24.140390428856893,322.0,67.52574678485423,104.0,1343.47543167495,116108,9,16.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,9.0,False,False,False,False,False,False,False,False,False,True
10,2019_1,2019,104.0316,35.676333,28.386666,39.7824,24.15499308295332,318.0,80.3577906440539,104.0,1501.607829072091,154352,9,17.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,11.0,False,False,False,False,True,False,False,False,False,False
55,2019_1,2019,96.343,34.6905,27.49,37.42075,24.06168980888456,323.0,93.46877081518676,104.0,1897.3618896346777,157324,9,18.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,20.0,False,False,True,False,False,False,False,False,False,False
63,2019_1,2019,98.411333,33.714111,25.500333,39.350333,36.19946713121894,319.0,67.81247117897217,104.0,2104.5798022237022,71971,9,19.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,16.0,False,False,False,False,False,True,False,False,False,False
88,2019_1,2019,99.2254,34.4,25.861,37.4552,32.188246144386945,317.0,67.94092329763795,104.0,2086.8660142439926,81410,9,20.0,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771,17.0,False,False,False,False,False,True,False,False,False,False
16,2019_2,2019,100.829333,31.715111,44.660538,25.840307,53.53059858973699,328.0,71.28755983323897,104.0,3534.082968758042,154614,9,1.0,25.088461538461537,53.83205128205129,1010.248717948718,0.0256410256410256,28.982051282051287,1.5307692307692309,3.0,True,False,False,False,False,False,False,False,False,False
5,2019_2,2019,107.276222,33.973222,45.113769,29.28723,53.62133923516393,332.0,70.94734674970405,104.0,3431.0327345720316,153692,9,2.0,25.088461538461537,53.83205128205129,1010.248717948718,0.0256410256410256,28.982051282051287,1.5307692307692309,5.0,True,False,False,False,False,False,False,False,False,False
