session_id,season,Avg_AirTemp,Avg_Humidity,Avg_Pressure,Rainfall,Avg_TrackTemp,Avg_WindSpeed
2019_1,2019,23.16923076923077,69.10256410256409,1016.6807692307692,0.0,37.77051282051283,1.6269230769230771
2019_2,2019,25.088461538461537,53.83205128205129,1010.248717948718,0.0256410256410256,28.982051282051287,1.5307692307692309
2019_3,2019,20.570886075949367,48.42025316455696,1015.7835443037976,0.0,33.96455696202532,1.2430379746835445
2019_4,2019,15.898484848484848,72.20000000000002,1023.3598484848484,0.0,31.92575757575757,1.062121212121212
2019_5,2019,21.070129870129865,58.271428571428565,1004.5961038961036,0.0,33.800000000000004,2.198701298701299
2019_6,2019,21.43896103896104,63.34155844155844,1014.3961038961036,0.0,42.410389610389615,1.0454545454545456
2019_7,2019,22.5,22.35,1022.0840425531916,0.0,48.02127659574467,1.5340425531914892
2019_8,2019,26.27051282051282,45.78846153846153,965.021794871795,0.0,54.03333333333334,2.4397435897435904
2019_9,2019,29.65128205128205,27.096153846153847,941.8884615384612,0.0,50.98205128205128,1.455128205128205
2019_10,2019,19.0,67.69873417721517,1005.189873417722,0.0,29.511392405063287,1.7253164556962026
2019_11,2019,28.323076923076915,51.68589743589743,990.0705128205132,0.0,44.02564102564102,1.448717948717949
2019_12,2019,23.931645569620255,51.70506329113924,982.3329113924048,0.0,42.86075949367088,1.7658227848101269
2019_13,2019,29.23804347826087,36.51413043478261,964.1293478260868,0.0,41.25434782608695,2.801086956521739
2019_14,2019,22.984210526315795,51.20947368421053,992.6757894736844,0.0,37.295789473684216,1.4042105263157898
2019_15,2019,30.013924050632923,61.25443037974684,1009.6911392405066,0.0,34.5506329113924,1.188607594936709
2019_16,2019,22.05764705882353,60.34117647058824,1016.3788235294118,0.0,30.75058823529412,2.447058823529412
2019_17,2019,22.071875,61.36666666666667,1008.4322916666666,0.0,35.748958333333334,5.720833333333334
2019_18,2019,20.55128205128205,56.84615384615385,781.171794871795,0.0,34.993589743589745,1.121794871794872
2019_19,2019,20.459493670886072,25.003797468354428,1008.287341772152,0.0,26.369620253164555,1.2075949367088608
